Name,Authors,Full journal,Title,URLs,Item type,Sub-type,Topic area,Molecules,Keywords (GFI),Technology sector,Common Name,Abstract,Keywords,Resource,Creative Commons License,Cell Lines (developed or characterized),Cell Lines (used),Species,Notes (public),Publication year,Volume,Issue,Pages,Journal,Publisher,Date published,Conference date,ISSN,ISSN (alt.),DOI,PMID,PMC ID,Copyright,Affiliation,Language,Editors,Institution,Edition,Book title,ISBN,ISBN (alt.),Series,Proceedings title,Eprint ID,Source,Created,Last Modified
Edelman_2005,"Edelman PD,McFarland DC,Mironov VA,Matheny JG",Tissue engineering,Commentary: In vitro-cultured meat production,http://dx.doi.org/10.1089/ten.2005.11.659; https://www.ncbi.nlm.nih.gov/pubmed/15998207; https://www.liebertpub.com/doi/full/10.1089/ten.2005.11.659?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed; https://www.liebertpub.com/doi/pdf/10.1089/ten.2005.11.659,Journal Article,Review,"Cultivated,Meat",,,,,"ALTHOUGH MEAT has enjoyed sustained popularity as a foodstuff, consumers have expressed growing concern over some consequences of meat consumption and production. These include nutrition-related diseases, foodborne illnesses, resource use and pollution …",,Cultivated Meat Library,,,,,,2005,11,5-6,659-662,Tissue Eng.,liebertpub.com,2005-05,,1076-3279,,10.1089/ten.2005.11.659,15998207,,,"Department of Animal and Range Sciences, South Dakota State University, Brookings, USA.",en,,,,,,,,,,,2021-07-23,2021-11-10
Hopkins_2008,"Hopkins PD,Dacey A",Journal of agricultural & environmental ethics,Vegetarian Meat: Could Technology Save Animals and Satisfy Meat Eaters?,https://doi.org/10.1007/s10806-008-9110-0; http://dx.doi.org/10.1007/s10806-008-9110-0; https://link.springer.com/article/10.1007/s10806-008-9110-0; https://foodethics.univie.ac.at/fileadmin/user_upload/inst_ethik_wiss_dialog/Hopkins__P._2008_Veg_Meat_and_In_Vitro_Meat.pdf,Journal Article,Review,"Cultivated,Meat",,Philosophy,,,"Between people who unabashedly support eating meat and those who adopt moral vegetarianism, lie a number of people who are uncomfortably carnivorous and vaguely wish they could be vegetarians. Opposing animal suffering in principle, they can ignore it in practice, relying on the visual disconnect between supermarket meat and slaughterhouse practices not to trigger their moral emotions. But what if we could have the best of both worlds in reality—eat meat and not harm animals? The nascent biotechnology of tissue culture, originally researched for medical applications, holds out just such a promise. Meat could be grown in vitro without killing animals. In fact, this technology may not just be an intriguing option, but might be our moral obligation to develop.",,Cultivated Meat Library,,,,,,2008,21,6,579-596,J. Agric. Environ. Ethics,Springer,2008-12-01,,1187-7863,1573-322X,10.1007/s10806-008-9110-0,,,,,,,,,,,,,,,,2021-07-23,2021-11-10
Datar_2010,"Datar I,Betti M",Innovative food science & emerging technologies: IFSET: the official scientific journal of the European Federation of Food Science and Technology,Possibilities for an in vitro meat production system,"http://www.sciencedirect.com/science/article/pii/S1466856409001222; http://dx.doi.org/10.1016/j.ifset.2009.10.007; https://www.sciencedirect.com/science/article/pii/S1466856409001222; https://pdfs.semanticscholar.org/12f0/496221478bac1fb3571d95b31e09f2e5fb68.pdf
https://zenodo.org/record/7469618",Journal Article,Review,"Cultivated,Meat",,,,,"Meat produced in vitro has been proposed as a humane, safe and environmentally beneficial alternative to slaughtered animal flesh as a source of nutritional muscle tissue. The basic methodology of an in vitro meat production system (IMPS) involves culturing muscle tissue in a liquid medium on a large scale. Each component of the system offers an array of options which are described taking into account recent advances in relevant research. A major advantage of an IMPS is that the conditions are controlled and manipulatable. Limitations discussed include meeting nutritional requirements and large scale operation. The direction of further research and prospects regarding the future of in vitro meat production will be speculated. Industrial relevance The development of an alternative meat production system is driven by the growing demand for meat and the shrinking resources available to produce it by current methods. Implementation of an in vitro meat production system (IMPS) to complement existing meat production practices creates the opportunity for meat products of different characteristics to be put onto the market. In vitro produced meat products resembling the processed and comminuted meat products of today will be sooner to develop than those resembling traditional cuts of meat. While widening the scope of the meat industry in practices and products, the IMPS will reduce the need for agricultural resources to produce meat.",In vitro meat; Myocyte culturing; Meat substitutes,Cultivated Meat Library,,,,,"If you're having trouble accessing this article, you can find it on the New Harvest OpenCellAg Repository (Zenodo link in URLs field).
",2010,11,1,13-22,Innov. Food Sci. Emerg. Technol.,Elsevier,2010-01-01,,1466-8564,,10.1016/j.ifset.2009.10.007,,,,,,,,,,,,,,,,2021-07-23,2023-05-03
Langelaan_2010,"Langelaan ML,Boonen KJ,Polak RB,Baaijens FP,Post MJ,van der Schaft DW",Trends in Food Science & Technology,Meet the new meat: tissue engineered skeletal muscle,http://www.sciencedirect.com/science/article/pii/S0924224409002957; http://dx.doi.org/10.1016/j.tifs.2009.11.001; https://www.sciencedirect.com/science/article/pii/S0924224409002957,Journal Article,Review,"Cultivated,Meat",,,,,"Contemporary large-scale farming and transportation of livestock brings along a high risk of infectious animal diseases and environmental burden through greenhouse gas emission. A new approach to produce meat and thereby reducing these risks is found in tissue engineering of skeletal muscle. This review discusses the requirements that need to be met to increase the feasibility of meat production in vitro, which include finding an appropriate stem cell source and being able to grow them in a three-dimensional environment inside a bioreactor, providing essential cues for proliferation and differentiation.",,Cultivated Meat Library,,,,,,2010,21,2,59-66,Trends Food Sci. Technol.,Elsevier,2010-02-01,,0924-2244,,10.1016/j.tifs.2009.11.001,,,,,,,,,,,,,,,,2021-07-23,2021-11-10
Telugu_2011,"Telugu BP,Ezashi T,Sinha S,Alexenko AP,Spate L,Prather RS,Roberts RM",The Journal of biological chemistry,"Leukemia inhibitory factor (LIF)-dependent, pluripotent stem cells established from inner cell mass of porcine embryos",http://dx.doi.org/10.1074/jbc.M111.229468; https://www.ncbi.nlm.nih.gov/pubmed/21705331; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190702; https://linkinghub.elsevier.com/retrieve/pii/S0021-9258(20)57439-5; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190702/,Journal Article,Research Article,,LIF,,Cell line development,Pig,"The pig is important for agriculture and as an animal model in human and veterinary medicine, yet despite over 20 years of effort, there has been a failure to generate pluripotent stem cells analogous to those derived from mouse embryos. Here we report the production of leukemia inhibitory factor-dependent, so-called naive type, pluripotent stem cells from the inner cell mass of porcine blastocysts by up-regulating expression of KLF4 and POU5F1. The alkaline phosphatase-positive colonies resulting from reprogramming resemble mouse embryonic stem cells in colony morphology, cell cycle interval, transcriptome profile, and expression of pluripotent markers, such as POU5F1, SOX2, and surface marker SSEA1. They are dependent on leukemia inhibitory factor signaling for maintenance of pluripotency, can be cultured over extended passage, and have the ability to form teratomas. These cells derived from the inner cell mass of pig blastocysts are clearly distinct from the FGF2-dependent ""primed"" induced pluripotent stem cells described recently from porcine mesenchymal cells. The data are consistent with the hypothesis that the up-regulation of KLF4, as well as POU5F1, is required to create and stabilize the naive pluripotent state and may explain why the derivation of embryonic stem cells from pigs and other ungulates has proved so difficult.",,Cultivated Meat Library,,pES(O2K),,Sus scrofa,,2011,286,33,28948-28953,J. Biol. Chem.,,2011-08-19,,0021-9258,1083-351X,10.1074/jbc.M111.229468,21705331,PMC3190702,,"Division of Animal Sciences, University of Missouri, Columbia, Missouri 65211-7310, USA. telugub@missouri.edu",en,,,,,,,,,,,2021-09-10,2022-08-26
Tuomisto_2011,"Tuomisto HL,de Mattos MJ",Environmental science & technology,Environmental impacts of cultured meat production,http://dx.doi.org/10.1021/es200130u; https://www.ncbi.nlm.nih.gov/pubmed/21682287; https://dx.doi.org/10.1021/es200130u; https://pubs.acs.org/doi/abs/10.1021/es200130u; http://2014falleng114.pbworks.com/w/file/fetch/88945115/cultured_meat_lca_es_t_published.pdf,Journal Article,Research Article,"Cultivated,Meat",,Environmental impacts (alternative protein),,,"Cultured meat (i.e., meat produced in vitro using tissue engineering techniques) is being developed as a potentially healthier and more efficient alternative to conventional meat. Life cycle assessment (LCA) research method was used for assessing environmental impacts of large-scale cultured meat production. Cyanobacteria hydrolysate was assumed to be used as the nutrient and energy source for muscle cell growth. The results showed that production of 1000 kg cultured meat requires 26-33 GJ energy, 367-521 m(3) water, 190-230 m(2) land, and emits 1900-2240 kg CO(2)-eq GHG emissions. In comparison to conventionally produced European meat, cultured meat involves approximately 7-45% lower energy use (only poultry has lower energy use), 78-96% lower GHG emissions, 99% lower land use, and 82-96% lower water use depending on the product compared. Despite high uncertainty, it is concluded that the overall environmental impacts of cultured meat production are substantially lower than those of conventionally produced meat.",,Cultivated Meat Library,,,,,,2011,45,14,6117-6123,Environ. Sci. Technol.,ACS Publications,2011-07-15,,0013-936X,1520-5851,10.1021/es200130u,21682287,,,"University of Oxford , Wildlife Conservation Research Unit, The Recanati-Kaplan Centre, Tubney House, Abingdon Road, Tubney, Oxon OX13 5QL, UK. hanna.tuomisto@zoo.ox.ac.uk",en,,,,,,,,,,,2021-07-23,2021-11-02
Welin_2012,"Welin S,Van der Weele C",,Cultured meat: will it separate us from nature?,https://link.springer.com/chapter/10.3920/978-90-8686-753-0_52,Book Chapter,,"Cultivated,Meat",,Philosophy,,,"In vitro meat , or cultured meat , is one of the ideas that are being proposed to help solve the problems associated with the ever growing global meat consumption. The prospect is a source or great moral hope, but also generates doubts and criticism. In this paper, we focus …",,Cultivated Meat Library,,,,,,2012,,,348-351,,Springer,2012,,,,,,,,,,,,,Climate change and sustainable development,,,,,,,2021-07-23,2021-11-02
Onoe_2013,"Onoe H,Okitsu T,Itou A,Kato-Negishi M,Gojo R,Kiriya D,Sato K,Miura S,Iwanaga S,Kuribayashi-Shigetomi K,Matsunaga YT,Shimoyama Y,Takeuchi S",Nature materials,Metre-long cell-laden microfibres exhibit tissue morphologies and functions,http://dx.doi.org/10.1038/nmat3606; https://www.ncbi.nlm.nih.gov/pubmed/23542870; https://doi.org/10.1038/nmat3606; https://www.nature.com/articles/nmat3606,Journal Article,Research Article,,,,Scaffolding,,"Artificial reconstruction of fibre-shaped cellular constructs could greatly contribute to tissue assembly in vitro. Here we show that, by using a microfluidic device with double-coaxial laminar flow, metre-long core-shell hydrogel microfibres encapsulating ECM proteins and differentiated cells or somatic stem cells can be fabricated, and that the microfibres reconstitute intrinsic morphologies and functions of living tissues. We also show that these functional fibres can be assembled, by weaving and reeling, into macroscopic cellular structures with various spatial patterns. Moreover, fibres encapsulating primary pancreatic islet cells and transplanted through a microcatheter into the subrenal capsular space of diabetic mice normalized blood glucose concentrations for about two weeks. These microfibres may find use as templates for the reconstruction of fibre-shaped functional tissues that mimic muscle fibres, blood vessels or nerve networks in vivo.",,"Deep dive: Cultivated meat scaffolding part B,Cultivated Meat Library",,,,,,2013,12,6,584-590,Nat. Mater.,,2013-06,,1476-1122,,10.1038/nmat3606,23542870,,,"Institute of Industrial Science, The University of Tokyo, Meguro-ku, Tokyo, Japan.",en,,,,,,,,,,,2021-07-23,2021-11-12
Rosselló_2013,"Rosselló RA,Chen CC,Dai R,Howard JT,Hochgeschwender U,Jarvis ED",eLife,Mammalian genes induce partially reprogrammed pluripotent stem cells in non-mammalian vertebrate and invertebrate species,https://elifesciences.org/articles/00036; http://dx.doi.org/10.7554/eLife.00036,Journal Article,,,,,,"Zebrafish, Quail, Chicken","Stem cells are ‘pluripotent’—in other words, they have the potential to become many other cell types. This ability makes them extremely valuable for research. They also hold substantial promise for medical applications, since they can be used to replace cells lost or damaged by disease or injury. Embryos represent a rich source of stem cells; however, obtaining these cells from human embryos raises obvious ethical and practical concerns, and they have also been difficult to isolate from many species. A recent discovery circumvented these issues for humans and several mammalian species commonly studied in the laboratory. This technique can turn cells from adult mammals into ‘induced pluripotent stem cells’, or iPSCs, by switching on four genes. Nevertheless, no analogous method has yet been established to create similar cell populations in non-mammalian organisms, which are also important models for human development and disease. Now, Rosselló et al. have shown that cells from both invertebrate and non-mammalian vertebrate species—including birds, fish and insects—can be reprogrammed into cells that closely resemble iPSCs. Intriguingly, these cells were created by switching on the same four genes that generate iPSCs in mammals, even though vertebrates and invertebrates are separated by around 550 million years of evolution. Rosselló et al. used a viral vector that carries the four stem-cell genes (from the mouse) into target cells from the different species. The genetically altered cells developed into iPSC-like cells with many of the characteristics of natural mammalian and bird stem cells. To confirm that the cells were pluripotent, Rossello et al. first showed that the cells could develop into primitive early embryos called embryoid bodies. For the vertebrate species tested, the embryoid bodies contained cells from each of the three main vertebrate embryo cell types. Secondly, iPSC-like cells from two organisms—chicks and zebrafish—formed various mature cell types when injected into developing chick or zebrafish embryos. These results have two important implications. They suggest that the genetic mechanisms by which cells can be reprogrammed into a stem-like state have been conserved through 550 million years of evolution; additionally, they demonstrate that stem-like cells can be generated from important experimental organisms, and provide an important tool for both biological and biomedical research.",iPS; quail; zebra finch; Drosophila,"Deep dive: Cultivated meat cell lines,Cultivated Meat Library",,,,"Danio rerio,Coturnix coturnix,Gallus gallus",,2013,2,,e00036,eLife Sciences,eLife Sciences Publications Limited,2013-09-03,,2050-084X,,10.7554/eLife.00036,,,,,en,,,,,,,,,,,2021-07-23,2022-08-26
Van der Weele_2013,"Van der Weele C,Driessen C",Animals,Emerging Profiles for Cultured Meat; Ethics through and as Design,https://www.mdpi.com/2076-2615/3/3/647; http://dx.doi.org/10.3390/ani3030647; https://www.mdpi.com/2076-2615/3/3/647/pdf,Journal Article,Research Article,"Cultivated,Meat",,Philosophy,,,"The development of cultured meat has gained urgency through the increasing problems associated with meat, but what it might become is still open in many respects. In existing debates, two main moral profiles can be distinguished. Vegetarians and vegans who embrace cultured meat emphasize how it could contribute to the diminishment of animal suffering and exploitation, while in a more mainstream profile cultured meat helps to keep meat eating sustainable and affordable. In this paper we argue that these profiles do not exhaust the options and that (gut) feelings as well as imagination are needed to explore possible future options. On the basis of workshops, we present a third moral profile, “the pig in the backyard”. Here cultured meat is imagined as an element of a hybrid community of humans and animals that would allow for both the consumption of animal protein and meaningful relations with domestic (farm) animals. Experience in the workshops and elsewhere also illustrates that thinking about cultured meat inspires new thoughts on “normal” meat. In short, the idea of cultured meat opens up new search space in various ways. We suggest that ethics can take an active part in these searches, by fostering a process that integrates (gut) feelings, imagination and rational thought and that expands the range of our moral identities.",,Cultivated Meat Library,,,,,,2013,3,3,647-662,Animals,Multidisciplinary Digital Publishing Institute,2013-07-26,,,,10.3390/ani3030647,,,,"Wageningen University, P.O. Box 8130, 6700 EW Wageningen, Netherlands",en,,,,,,,,,,,2021-07-23,2022-04-14
