Name,Inventors,Assignee,Patent title,URLs,Item type,Topic area,Molecules,Keywords (GFI),Technology sector,Common Name,Abstract,Keywords,Resource,Species,Notes (public),Publication year,Date published,Issuing authority,Patent number,Date filed,Type of patent,Issuing office full name,Application number,Created,Last Modified
Van Eelen_1999,"Van Eelen WF,Van Kooten WJ,Westerhof W",Willem Frederik Van Eelen,Industrial scale production of meat from in vitro cell cultures,https://patentimages.storage.googleapis.com/2b/b9/37/5a8bfe4d84fce7/WO1999031222A1.pdf; https://patents.google.com/patent/WO1999031222A1/en,Patent,"Cultivated,Meat",,,,,"A process for production of a meat product said process comprising the culturing in vitro of animal cells in medium free of hazardous substances for humans on an industrial scale thereby providing three dimensional animal muscle tissue suited for human and/or animal consumption, optionally followed by further processing steps of the cell culture to a finished food product analogous to known processes for meat comprising food products without requiring deboning, removal of offal and/or tendon and/or gristle and/or fat, preferably said meat product comprising solidified cell tissue, said cells being selected from muscle cells, somite cells and stem cells. A meat product, consisting of in vitro produced animal cells in a three dimensional form i.e. comprising multiple cell layers of animal cells in three dimensions, said meat product being free of fat, tendon, bone and gristle, said cells being selected from muscle cells, stem cells or somite cells.",,Cultivated Meat Library,,,1999,1999-06-24,WIPO,1999031222:A1,1997-12-18,World Patent,World Intellectual Property Organization,PC:T/NL1997/000710,2021-11-12,2021-11-23
Vein_2005,Vein J,Jon Vein,Method for producing tissue engineered meat for consumption,https://patentimages.storage.googleapis.com/d3/45/32/ca259d182d2acf/US20050010965A1.pdf; https://patents.google.com/patent/US20050010965A1/en,Patent,"Cultivated,Meat",,,,,"A non-human tissue engineered meat product and a method for producing such meat product are disclosed. The meat product comprises muscle cells that are grown ex vivo and is used for food consumption. The muscle cells may be grown and attached to a support structure and may be derived from any non-human cells. The meat product may also comprise other cells such as fat cells or cartilage cells, or both, that are grown ex vivo together with the muscle cells.",,Cultivated Meat Library,,,2005,2005-01-13,USPTO,20050010965:A1,2001-11-16,US Patent,United States Patent and Trademark Office,US:09/991544,2021-07-23,2021-11-02
Van Eelen_2007,Van Eelen WF,Willem Frederik Van Eelen,Industrial production of meat using cell culture methods,https://patentimages.storage.googleapis.com/00/69/34/1a632a16cfa069/US7270829B2.pdf; https://patents.google.com/patent/US7270829B2/en,Patent,"Cultivated,Meat",,,,,A meat product containing in vitro produced animal cells in a three dimensional form and a method for producing the meat product.,,Cultivated Meat Library,,,2007,2007-09-18,USPTO,7270829,2005-05-09,US Patent,United States Patent and Trademark Office,US:11/124372,2021-07-23,2021-11-02
Forgacs_2014,"Forgacs G,Marga F,Jakab KR",University of Missouri System,Engineered comestible meat,https://patentimages.storage.googleapis.com/ff/3a/ad/0d50903cf2c696/US20140093618A1.pdf; https://patents.google.com/patent/US20140093618A1/en,Patent,"Cultivated,Meat",,,,,"Provided are engineered meat products formed as a plurality of at least partially fused layers, wherein each layer comprises at least partially fused multicellular bodies comprising non-human myocytes and wherein the engineered meat is comestible. Also provided are multicellular bodies comprising a plurality of non-human myocytes that are adhered and/or cohered to one another; wherein the multicellular bodies are arranged adjacently on a nutrient-permeable support substrate and maintained in culture to allow the multicellular bodies to at least partially fuse to form a substantially planar layer for use in formation of engineered meat. Further described herein are methods of forming engineered meat utilizing said layers.",,Cultivated Meat Library,,,2014,2014-04-03,USPTO,20140093618:A1,2013-11-27,US Patent,United States Patent and Trademark Office,US:14/092801,2021-11-12,2021-11-23
Hasson_2015,"Hasson A,Yirme G,Lavon N,Geffen-Shalev C,Molakandov K",Kadimastem Ltd,Methods for large scale generation of stem cells,https://patentimages.storage.googleapis.com/bd/b6/79/fd44efa8a5f854/WO2015008275A1.pdf; https://patents.google.com/patent/WO2015008275A1/en,Patent,,,,,,"The present invention discloses methods for large scale generation of stem cells. The present invention is directed to compositions and methods for cultivating stem cells, in large-scale culture.",,Cultivated Meat Library,,,2015,2015-01-22,WIPO,2015008275:A1,2014-07-10,World Patent,World Intellectual Property Organization,PC:T/IL2014/050622,2021-07-23,2021-11-02
Genovese_2016,"Genovese NJ,Michael Roberts R,BP",Memphis Meats Inc,Method for scalable skeletal muscle lineage specification and cultivation,https://patentimages.storage.googleapis.com/a3/d7/7d/b68da87711e8e9/US20160227830A1.pdf; https://patents.google.com/patent/US20160227830A1/en,Patent,"Cultivated,Meat",,,,,"The present disclosure relates to methods for enhancing cultured meat production, such as livestock-autonomous meat production. In certain aspects, the meat is any metazoan tissue or cell-derived comestible product intended for use as a comestible food or nutritional component by humans, companion animals, domesticated or captive animals whose carcasses are intended for comestible use, service animals, conserved animal species, animals used for experimental purposes, or cell cultures.",,Cultivated Meat Library,,,2016,2016-08-11,USPTO,20160227830:A1,2016-04-20,US Patent,United States Patent and Trademark Office,US:15/134252,2021-07-23,2021-11-02
Marga_2016,Marga FS,MODERN MEADOW Inc,Dried food products formed from cultured muscle cells,https://patentimages.storage.googleapis.com/6c/ef/3b/ea032549e52596/US20160227831A1.pdf; https://patents.google.com/patent/US20160227831A1/en,Patent,"Cultivated,Plant-based,Meat",,,,,"Dehydrated, edible, high-protein food products formed of cultured muscle cells that are combined (e.g., mixed) with a hydrogel (e.g., a plant-derived polysaccharide) are described. These food products may be formed into a chip (e.g., snack chip), that has a protein content of greater than 50%. One or more flavorants may also be included.",,Cultivated Meat Library,,,2016,2016-08-11,USPTO,20160227831:A1,2016-04-07,US Patent,United States Patent and Trademark Office,US:15/093618,2021-07-23,2021-11-02
Genovese_2017b,"Genovese N,Desmet DN,Schulze E","Memphis Meats, Inc.",Methods for extending the replicative capacity of somatic cells during an ex vivo cultivation process,https://patentimages.storage.googleapis.com/e7/9b/35/7f2b2deb7d0eee/WO2017124100A1.pdf; https://patents.google.com/patent/WO2017124100A1/en,Patent,"Cultivated,Meat",Telomerase,,Cell line development,"Cow, Chicken","A product and process for extending the replicative capacity of metazoan somatic cells using targeted genetic amendments to abrogate inhibition of cell-cycle progression during replicative senescence and derive clonal cell lines for scalable applications and industrial production of metazoan cell biomass. An insertion or deletion mutation using guide RNAs targeting the first exon of the transcript encoding each protein is created using CRISPR/Cas9. Targeted amendments result in inactivation of p15 and p16 proteins which increases the proliferative capacity of the modified cell populations relative to their unaltered parental populations. Combining these amendments with ancillary telomerase activity from a genetic construct directing expression of a telomerase protein homolog from a TERT gene, increases the replicative capacity of the modified cell populations indefinitely. One application is to manufacture skeletal muscle for dietary consumption using cells from the poultry species Gallus gallus ; another is from the livestock species Bos taurus.",,Cultivated Meat Library,"Bos taurus,Gallus gallus",,2017,2017-07-20,WIPO,2017124100:A1,2017-01-17,World Patent,World Intellectual Property Organization,PC:T/US2017/013782,2021-07-23,2022-08-26
Hanyu_2017,"Hanyu Y,Kawashima I",,"Growth induction system, growth induction control device, growth induction control method, and growth induction control program",https://patents.google.com/patent/JP6111510B1/en,Patent,"Cultivated,Meat",,,"Cell culture media,Bioprocess design",,"In order to induce growth while suppressing the cost of adding cytokines at each growth stage, the first culture tank for perfusing the culture medium to the growth induction target derived from the living body, the second for perfusing the culture medium to the secretory secreting cytokine In a growth induction system comprising a culture vessel and a growth induction control device comprising a detection unit, a storage unit, and a control unit, a growth induction protocol that defines a growth induction procedure is stored, and in the control unit, a detection unit Based on the growth induction protocol, the flow rate of supplying the culture medium containing the cytokine secreted by the secretory body to the growth induction target is controlled based on the growth induction protocol. To do. [Selection] Figure 1",,Cultivated Meat Library,,,2017,2017-04-12,,,,Patent,,,2021-11-12,2021-11-23
Marga_2017,"Marga FS,Purcell BP,Forgacs G,Forgacs A","Modern Meadow, Inc. (Brooklyn, NY, US)",Edible and animal-product-free microcarriers for engineered meat,http://www.freepatentsonline.com/9752122.html,Patent,"Cultivated,Meat",Pectin,,Scaffolding,,"Edible microcarriers, including microcarrier beads, microspheres and microsponges, appropriate for use in a bioreactor to culture cells that may be used to form a comestible engineered meat product. For example, the edible microcarriers described herein may include porous microcarriers that may be used to grow cells (e.g., smooth muscle cells) and may be included with the cells in the final engineered meat product, without requiring modification or removal of the cells from the microcarriers. In a particular example, the edible microcarriers may be formed of cross-linked pectin, such as pectin-thiopropionylamide (PTP), and RGD-containing polypeptide, such as thiolated cardosin A. Methods of forming edible microcarriers, methods of using the edible microcarriers to make engineered meat, and engineered meat including the edible microcarriers are also described herein.",Microcarriers,"Cultivated Meat Library,Deep dive: Cultivated meat scaffolding part A",,,2017,2017-09-05,USPTO,,2014-09-15,US Patent,United States Patent and Trademark Office,,2021-07-23,2023-01-30
